start_date,bank_names,no_atms_on_site,no_atms_off_site,no_pos_on_line,no_pos_off_line,no_credit_cards,no_credit_card_atm_txn,no_credit_card_pos_txn,no_credit_card_atm_txn_value_in_mn,no_credit_card_pos_txn_value_in_mn,no_debit_cards,no_debit_card_atm_txn,no_debit_card_pos_txn,no_debit_card_atm_txn_value_in_mn,no_debit_card_pos_txn_value_in_mn,bank_type,bank_name_published
2011-05-01,ROYAL BANK OF SCOTLAND N V,35.0,85.0,0.0,0.0,262327.0,1572.0,260374.0,12.662295530000002,754.9452946400003,375965.0,601008.0,207452.0,2305.54168814,366.0410568,Foreign Banks,RBS (ABN AMRO)
2011-05-01,STANDARD CHARTERED BANK LTD,94.0,224.0,16.0,0.0,1091938.0,2725.0,1795782.0,12.0,5640.0,769748.0,1468303.0,470305.0,4872.7,785.7506510000001,Foreign Banks,Standard Chartered Bank
2011-05-01,AXIS BANK LTD,1769.0,4818.0,186783.0,0.0,640926.0,6811.0,602385.0,22.42613113,1614.93147766,10330392.0,39281481.0,2173612.0,90972.0693,3970.88576375,Private Sector Banks,Axis Bank Ltd.
2011-05-01,CITY UNION BANK LTD,189.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472265.0,1057218.0,47666.0,3330.09,77.12,Private Sector Banks,City Union Bank Ltd
2011-05-01,CSB BANK LTD,105.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278746.0,154285.0,7788.0,362.0,15.1,Private Sector Banks,Catholic Syrian Bank Ltd.
2011-05-01,DCB BANK LTD,78.0,59.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,225258.0,381537.0,27931.0,1254.2,51.2,Private Sector Banks,Development Credit Bank Ltd.
2011-05-01,DHANALAXMI BANK LTD,168.0,292.0,0.0,0.0,1674.0,2.0,3989.0,0.01,10.3,962483.0,373495.0,25146.0,1231.9,42.3,Private Sector Banks,Dhanalaxmi Bank Ltd.
2011-05-01,FEDERAL BANK LTD,467.0,345.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,3298865.0,2557268.0,123478.0,9529.2,244.0,Private Sector Banks,Federal Bank Limited
2011-05-01,HDFC BANK LTD,2957.0,2839.0,128924.0,0.0,5099106.0,53220.0,5873844.0,311.89580299,20188.934883510003,13465958.0,21851725.0,4972650.0,88963.67365778089,7642.976095026229,Private Sector Banks,HDFC Bank Ltd.
2011-05-01,ICICI BANK LTD,2734.0,3567.0,180655.0,3880.0,3266549.0,9658.0,4560952.0,51.46316463000001,10751.25885666,16143713.0,27290567.0,4281904.0,119924.722414418,7432.49078852,Private Sector Banks,ICICI Bank Ltd.
2011-05-01,IDBI BANK LTD,699.0,713.0,19077.0,0.0,0.0,0.0,0.0,0.0,0.0,4495097.0,4940796.0,431807.0,18299.90226087,744.9,Private Sector Banks,IDBI Ltd.
2011-05-01,INDUSIND BANK LTD,282.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645855.0,851771.0,91008.0,2994.6,164.2,Private Sector Banks,IndusInd Bank Ltd
2011-05-01,ING VYSYA BANK LTD,211.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963973.0,3107743.0,119242.0,7128.1,236.1,Private Sector Banks,ING Vysya Bank
2011-05-01,JAMMU AND KASHMIR BANK LTD,269.0,107.0,2762.0,0.0,35907.0,2271.0,28370.0,7.95136312,109.1327114,942442.0,3206775.0,20371.0,8668.86739907,60.1373933,Private Sector Banks,Jammu & Kashmir Bank
2011-05-01,KARNATAKA BANK LTD,195.0,75.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1250628.0,1077524.0,94179.0,3358.9,155.6,Private Sector Banks,Karnataka Bank Ltd.
2011-05-01,KARUR VYSYA BANK LTD,372.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2161384.0,3107777.0,122550.0,9130.6,199.1,Private Sector Banks,Karur Vysya Bank Ltd
2011-05-01,KOTAK MAHINDRA BANK LTD,307.0,411.0,0.0,0.0,173377.0,2339.0,219975.0,20.93793069,589.88294533,1197265.0,2049332.0,285488.0,5595.77076326,452.87296059,Private Sector Banks,Kotak Mahindra Bank Ltd
2011-05-01,LAKSHMI VILAS BANK LTD,147.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326202.0,534582.0,11605.0,1686.0,24.3,Private Sector Banks,Lakshmi Vilas Bank Ltd.
2011-05-01,RBL BANK LTD,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8506.0,29620.0,0.0,74.349,0.0,Private Sector Banks,Ratnakar Bank Ltd.
2011-05-01,SBI COMMERCIAL AND INTERNATIONAL BANK LTD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,483.0,0.0,1.6095000000000002,0.0,Private Sector Banks,SBI Comm. & Int. Bank Ltd.
2011-05-01,SOUTH INDIAN BANK,414.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720572.0,2606505.0,33026.0,3065.0,81.0,Private Sector Banks,South Indian Bank Ltd
2011-05-01,TAMILNAD MERCANTILE BANK LTD,118.0,71.0,0.0,18.0,3265.0,0.0,3423.0,0.0,8.6,496861.0,823437.0,15194.0,3215.7,40.5,Private Sector Banks,Tamilnadu Mercantile Bank Ltd.
2011-05-01,YES BANK LTD,159.0,93.0,1609.0,0.0,0.0,0.0,0.0,0.0,0.0,141967.0,51388.0,44745.0,219.0,76.8,Private Sector Banks,Yes Bank Ltd.
2011-05-01,ALLAHABAD BANK,206.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007670.0,446844.0,51762.0,1014.2,97.8,Public Sector Banks,Allahabad Bank
2011-05-01,ANDHRA BANK,463.0,534.0,2123.0,0.0,121423.0,7412.0,95690.0,29.0,275.1,6214554.0,6594515.0,278640.0,17250.0,476.1,Public Sector Banks,Andhra Bank
2011-05-01,BANK OF BARODA,1044.0,563.0,4513.0,0.0,72032.0,2953.0,74379.0,3.2,212.7,6443043.0,6423411.0,371508.0,23950.5,629.2,Public Sector Banks,Bank of Baroda
2011-05-01,BANK OF INDIA,770.0,700.0,1934.0,501.0,118310.0,10104.0,82857.0,67.0,236.2,7097939.0,1873604.0,382480.0,6596.1,575.9,Public Sector Banks,Bank of India
2011-05-01,BANK OF MAHARASHTRA,318.0,103.0,77.0,404.0,18827.0,0.0,12877.0,0.0,28.4,1971862.0,1960872.0,125373.0,6004.2,196.1,Public Sector Banks,Bank of Maharashtra
2011-05-01,CANARA BANK,1512.0,886.0,1063.0,0.0,63374.0,8166.0,78757.0,36.2,201.8,6055755.0,6217910.0,454973.0,22658.1,920.2,Public Sector Banks,Canara Bank
2011-05-01,CENTRAL BANK OF INDIA,432.0,642.0,731.0,0.0,47693.0,83.0,40481.0,0.3,13.9,2687581.0,5619231.0,60703.0,13940.27562431,157.04393549,Public Sector Banks,Central Bank of India
2011-05-01,CORPORATION BANK,703.0,547.0,16768.0,0.0,53593.0,1467.0,71285.0,6.4,179.1,4149927.0,3091952.0,255271.0,10809.3,461.7,Public Sector Banks,Corporation Bank
2011-05-01,DENA BANK,396.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293687.0,1647459.0,63015.0,5452.7,101.8,Public Sector Banks,Dena Bank
2011-05-01,INDIAN BANK,829.0,333.0,0.0,0.0,39093.0,2622.0,47081.0,9.3,127.2,5917870.0,9033887.0,365075.0,17830.7,496.7,Public Sector Banks,Indian Bank
2011-05-01,INDIAN OVERSEAS BANK,741.0,370.0,551.0,0.0,34689.0,3182.0,32389.0,6.4,74.8,2775541.0,3428652.0,258410.0,9049.3,518.8,Public Sector Banks,Indian Overseas Bank
2011-05-01,ORIENTAL BANK OF COMMERCE,886.0,324.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,2691991.0,4181081.0,75738.0,10533.8,125.8,Public Sector Banks,Oriental Bank of Commerce
2011-05-01,PUNJAB AND SIND BANK,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49455.0,17713.0,0.0,73.9,0.0,Public Sector Banks,Punjab and Sind Bank
2011-05-01,PUNJAB NATIONAL BANK,3047.0,2240.0,179.0,0.0,83073.0,2275.0,94158.0,10.3,209.7,13829918.0,36299864.0,694574.0,52150.0,831.4,Public Sector Banks,Punjab National Bank
2011-05-01,STATE BANK OF BIKANER AND JAIPUR,599.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3678596.0,7483008.0,49456.0,22018.5,91.1,Public Sector Banks,State Bank of Bikaner & Jaipur
