period,description,mcc,type,type_name,value_in_cr,volume_in_mn
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,Medium Transacting Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,0,0,All Other Categories,,0.0,0.0
2016-11,Others,Others,All Other Categories,,0.0,0.01
2016-11,Total,,All Other Categories,,0.57,0.03
2016-12,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,5.67,0.24
2016-12,Groceries and supermarkets,5411,High Transacting Categories,,0.84,0.01
2016-12,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.13,0.01
2016-12,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.06,0.0
2016-12,Department stores,5311,High Transacting Categories,,0.24,0.0
2016-12,General contractors residential and commercial,1520,High Transacting Categories,,0.01,0.0
2016-12,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,0.01,0.0
2016-12,Eating places and restaurants,5812,High Transacting Categories,,0.0,0.0
2016-12,Electronics shops,5732,High Transacting Categories,,0.0,0.0
2016-12,Motion picture theatres,7832,High Transacting Categories,,0.0,0.0
2016-12,Travel agencies and tour operators,4722,Medium Transacting Categories,,0.0,0.0
2016-12,Theatrical producers (except motion pictures) and ticket agencies,7922,Medium Transacting Categories,,0.0,0.0
2016-12,Miscellaneous general merchandise,5399,Medium Transacting Categories,,0.0,0.0
2016-12,Securities brokers and dealers,6211,Medium Transacting Categories,,0.0,0.0
2016-12,Fast food restaurants,5814,Medium Transacting Categories,,0.0,0.0
2016-12,Government services not elsewhere classified,9399,Medium Transacting Categories,,0.0,0.0
2016-12,Direct marketing insurance services,5960,Medium Transacting Categories,,0.0,0.0
2016-12,Business and secretarial schools,8244,Medium Transacting Categories,,0.0,0.0
2016-12,Miscellaneous and speciality retail outlets,5999,Medium Transacting Categories,,0.0,0.0
2016-12,Debt collection agencies,7322,Medium Transacting Categories,,0.0,0.0
2016-12,Financial institutions merchandise and services,6012,All Other Categories,,0.0,0.0
2016-12,Buying and shopping services and clubs,7278,All Other Categories,,0.0,0.0
2016-12,Direct marketing continuity/subscription merchants,5968,All Other Categories,,0.0,0.0
2016-12,"Computers, computer peripheral equipment not elsewhere classified",5045,All Other Categories,,0.0,0.0
2016-12,0,0,All Other Categories,,0.0,0.0
2016-12,0,0,All Other Categories,,0.0,0.0
2016-12,0,0,All Other Categories,,0.0,0.0
2016-12,0,0,All Other Categories,,0.0,0.0
2016-12,0,0,All Other Categories,,0.0,0.0
2016-12,Others,Others,All Other Categories,,0.01,0.0
2016-12,Total,,All Other Categories,,6.97,0.26
2016-12,Total,,All Other Categories,,6.97,0.26
2017-01,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,9.65,0.39
2017-01,Groceries and supermarkets,5411,High Transacting Categories,,3.45,0.04
2017-01,Department stores,5311,High Transacting Categories,,3.98,0.02
2017-01,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.22,0.01
2017-01,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.12,0.0
2017-01,General contractors residential and commercial,1520,High Transacting Categories,,0.31,0.0
2017-01,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,0.07,0.0
2017-01,Miscellaneous general merchandise,5399,High Transacting Categories,,0.02,0.0
2017-01,Theatrical producers (except motion pictures) and ticket agencies,7922,High Transacting Categories,,0.0,0.0
2017-01,Eating places and restaurants,5812,High Transacting Categories,,0.0,0.0
2017-01,Travel agencies and tour operators,4722,Medium Transacting Categories,,0.0,0.0
2017-01,Electronics shops,5732,Medium Transacting Categories,,0.0,0.0
2017-01,Buying and shopping services and clubs,7278,Medium Transacting Categories,,0.0,0.0
2017-01,Securities brokers and dealers,6211,Medium Transacting Categories,,0.01,0.0
2017-01,Motion picture theatres,7832,Medium Transacting Categories,,0.0,0.0
2017-01,Miscellaneous and speciality retail outlets,5999,Medium Transacting Categories,,0.0,0.0
2017-01,Direct marketing insurance services,5960,Medium Transacting Categories,,0.0,0.0
2017-01,Telecommunication equipment and telephone sales,4812,Medium Transacting Categories,,0.0,0.0
2017-01,Medical and dental laboratories,8071,Medium Transacting Categories,,0.0,0.0
2017-01,Debt collection agencies,7322,Medium Transacting Categories,,0.0,0.0
2017-01,"Colleges, universities, professional schools and junior colleges",8220,All Other Categories,,0.0,0.0
2017-01,Fast food restaurants,5814,All Other Categories,,0.0,0.0
2017-01,Hospitals,8062,All Other Categories,,0.0,0.0
2017-01,Automotive service shops (non-dealer),7538,All Other Categories,,0.0,0.0
2017-01,Petroleum and petroleum products,5172,All Other Categories,,0.0,0.0
2017-01,0,0,All Other Categories,,0.0,0.0
2017-01,0,0,All Other Categories,,0.0,0.0
2017-01,0,0,All Other Categories,,0.0,0.0
2017-01,0,0,All Other Categories,,0.0,0.0
2017-01,Others,Others,All Other Categories,,0.0,0.02
2017-01,Total,,All Other Categories,,17.83,0.48
2017-02,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,7.93,0.31
2017-02,Groceries and supermarkets,5411,High Transacting Categories,,5.74,0.07
2017-02,Department stores,5311,High Transacting Categories,,4.25,0.02
2017-02,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",4814,High Transacting Categories,,0.24,0.01
2017-02,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.11,0.01
2017-02,General contractors residential and commercial,1520,High Transacting Categories,,0.59,0.01
2017-02,"Motor freight carriers and trucking local and long distance, moving and storage companies and local delivery",4214,High Transacting Categories,,0.18,0.0
2017-02,Motion picture theatres,7832,High Transacting Categories,,0.0,0.0
2017-02,Theatrical producers (except motion pictures) and ticket agencies,7922,High Transacting Categories,,0.0,0.0
2017-02,Miscellaneous general merchandise,5399,High Transacting Categories,,0.01,0.0
2017-02,Financial institutions manual cash disbursements,6010,Medium Transacting Categories,,0.0,0.0
2017-02,Travel agencies and tour operators,4722,Medium Transacting Categories,,0.0,0.0
2017-02,Buying and shopping services and clubs,7278,Medium Transacting Categories,,0.0,0.0
2017-02,Business services not elsewhere classified,7399,Medium Transacting Categories,,0.0,0.0
2017-02,Eating places and restaurants,5812,Medium Transacting Categories,,0.0,0.0
2017-02,"Insurance sales, underwriting and premiums",6300,Medium Transacting Categories,,0.03,0.0
2017-02,Miscellaneous and speciality retail outlets,5999,Medium Transacting Categories,,0.0,0.0
2017-02,Beauty and barber shops,7230,Medium Transacting Categories,,0.0,0.0
2017-02,Telecommunication equipment and telephone sales,4812,Medium Transacting Categories,,0.0,0.0
2017-02,Securities brokers and dealers,6211,Medium Transacting Categories,,0.01,0.0
2017-02,Debt collection agencies,7322,All Other Categories,,0.01,0.0
2017-02,Electronics shops,5732,All Other Categories,,0.0,0.0
2017-02,Petroleum and petroleum products,5172,All Other Categories,,0.0,0.0
2017-02,Tolls and bridge fees,4784,All Other Categories,,0.0,0.0
