period,start_date,atmid,layout,value_unit_published,bank_type,bank_group_published,bank_name_std,bank_name_published,atm_total,pos_terminals,cc_payments_vol,cc_payments_val_mn,dc_payments_vol,dc_payments_val_mn,atm_onsite,atm_offsite,pos_online,pos_offline,cc_cards,cc_atm_vol,cc_pos_vol,cc_atm_val,cc_pos_val,dc_cards,dc_atm_vol,dc_pos_vol,dc_atm_val,dc_pos_val,atm_online,atm_offline,micro_atm,bharat_qr,pos,upi_qr,cc_ecom_vol,cc_ecom_val,cc_other_vol,cc_other_val,dc_ecom_vol,dc_ecom_val,dc_other_vol,dc_other_val,dc_cashpos_vol,dc_cashpos_val,cc_atm_val_mn,cc_pos_val_mn,dc_atm_val_mn,dc_pos_val_mn,cc_ecom_val_mn,cc_other_val_mn,dc_ecom_val_mn,dc_other_val_mn,dc_cashpos_val_mn
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,BANK OF BARODA,Bank of Baroda,1579.0,4537.0,70341.0,195.2,329175.0,533.4,1018.0,561.0,4537.0,0.0,70221.0,3050.0,70341.0,3.2,195.2,6313713.0,6074724.0,329175.0,22062.5,533.4,,,,,,,,,,,,,,,,,3.2,195.2,22062.5,533.4,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,BANK OF INDIA,Bank of India,1450.0,2581.0,78427.0,211.3,346339.0,405.7,760.0,690.0,1921.0,660.0,118225.0,8899.0,78427.0,59.5,211.3,6874195.0,1877971.0,346339.0,6489.0,405.7,,,,,,,,,,,,,,,,,59.5,211.3,6489.0,405.7,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,BANK OF MAHARASHTRA,Bank of Maharashtra,418.0,481.0,12918.0,27.3,112523.0,172.7,317.0,101.0,77.0,404.0,18827.0,0.0,12918.0,0.0,27.3,1928579.0,1907045.0,112523.0,5622.7,172.7,,,,,,,,,,,,,,,,,0.0,27.3,5622.7,172.7,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,CANARA BANK,Canara Bank,2282.0,1220.0,50137.0,120.7,415101.0,789.2,1524.0,758.0,1090.0,130.0,64949.0,7916.0,50137.0,33.2,120.7,5997718.0,6278829.0,415101.0,21809.3,789.2,,,,,,,,,,,,,,,,,33.2,120.7,21809.3,789.2,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,CENTRAL BANK OF INDIA,Central Bank of India,1038.0,729.0,38460.0,14.0,52467.0,132.99249164,402.0,636.0,729.0,0.0,48067.0,127.0,38460.0,0.67,14.0,2622639.0,5440739.0,52467.0,13031.982170169998,132.99249164,,,,,,,,,,,,,,,,,0.67,14.0,13031.982170169998,132.99249164,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,CORPORATION BANK,Corporation Bank,1195.0,17178.0,66979.0,163.2,233084.0,397.5,688.0,507.0,17178.0,0.0,53194.0,1474.0,66979.0,6.6,163.2,4164618.0,3878726.0,233084.0,12501.6,397.5,,,,,,,,,,,,,,,,,6.6,163.2,12501.6,397.5,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,DENA BANK,Dena Bank,504.0,0.0,0.0,0.0,58602.0,90.4,398.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270666.0,1580566.0,58602.0,5081.8,90.4,,,,,,,,,,,,,,,,,0.0,0.0,5081.8,90.4,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,INDIAN BANK,Indian Bank,1149.0,0.0,44664.0,115.2,338680.0,422.6,824.0,325.0,0.0,0.0,38541.0,2425.0,44664.0,8.7,115.2,5811836.0,8796252.0,338680.0,15518.2,422.6,,,,,,,,,,,,,,,,,8.7,115.2,15518.2,422.6,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,INDIAN OVERSEAS BANK,Indian Overseas Bank,1056.0,651.0,30135.0,66.3,229061.0,432.2,726.0,330.0,651.0,0.0,34454.0,2912.0,30135.0,6.0,66.3,2710632.0,3342723.0,229061.0,8526.1,432.2,,,,,,,,,,,,,,,,,6.0,66.3,8526.1,432.2,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,ORIENTAL BANK OF COMMERCE,Oriental Bank of Commerce,1201.0,857.0,0.0,0.0,69918.0,112.0,883.0,318.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,2634081.0,4056753.0,69918.0,9905.7,112.0,,,,,,,,,,,,,,,,,0.0,0.0,9905.7,112.0,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,PUNJAB AND SIND BANK,Punjab and Sind Bank,85.0,0.0,0.0,0.0,0.0,0.0,83.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48669.0,17281.0,0.0,72.9,0.0,,,,,,,,,,,,,,,,,0.0,0.0,72.9,0.0,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,PUNJAB NATIONAL BANK,Punjab National Bank,5228.0,176.0,84560.0,183.6,647495.0,740.3,3033.0,2195.0,176.0,0.0,80999.0,2277.0,84560.0,10.0,183.6,13567190.0,36192527.0,647495.0,49520.0,740.3,,,,,,,,,,,,,,,,,10.0,183.6,49520.0,740.3,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,STATE BANK OF BIKANER AND JAIPUR,State Bank of Bikaner & Jaipur,1000.0,0.0,0.0,0.0,45096.0,78.4,597.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3636449.0,7523082.0,45096.0,20358.1,78.4,,,,,,,,,,,,,,,,,0.0,0.0,20358.1,78.4,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,STATE BANK OF HYDERABAD,State Bank of Hyderabad,1270.0,0.0,0.0,0.0,134752.0,335.1,997.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4868114.0,10962067.0,134752.0,26799.7,335.1,,,,,,,,,,,,,,,,,0.0,0.0,26799.7,335.1,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,STATE BANK OF INDIA,State Bank of India,20280.0,0.0,2737188.0,5482.23743091,4219000.0,6616.2,10962.0,9318.0,0.0,0.0,2088515.0,21508.0,2737188.0,95.60243021000002,5482.23743091,73134000.0,144809000.0,4219000.0,367726.2,6616.2,,,,,,,,,,,,,,,,,95.60243021000002,5482.23743091,367726.2,6616.2,,,,,
2011-04,2011-04-01,9,A14,million,Public Sector Banks,,STATE BANK OF MYSORE,State Bank of Mysore,748.0,0.0,0.0,0.0,76387.0,188.2,548.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992290.0,2678423.0,76387.0,8881.7,188.2,,,,,,,,,,,,,,,,,0.0,0.0,8881.7,188.2,,,,,
